Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1, 0.203739818494, 0.149917637082, 0.300621868118, 0.0484001898738, 0.070627622516, 0.111432181269, 0.0298860639977, 0.0180288805667, 0.0548283437056, 0.012517394377
2, 0.209392572228, 0.205238861726, 0.223144465936, 0.0674872892742, 0.0428838109458, 0.0879504058089, 0.0414503677752, 0.0261248031633, 0.0734989065235, 0.0228285166198
3, 0.519940254193, 0.125378421948, 0.0305374477248, 0.0505812055361, 0.0365677240928, 0.061619235586, 0.0420704993053, 0.0780912108216, 0.00605496848655, 0.0491590323059
4, 0.811753993369, 0.105132770678, 0.0139281944497, 0.00660266538781, 0.0131585177543, 0.00641870454043, 0.0165814065073, 0.0141074275833, 0.00383596149378, 0.00848035823574
5, 0.771086314806, 0.0844177549268, 0.019729413242, 0.0185506823875, 0.0158839861024, 0.0275459985074, 0.0229799236717, 0.020314434005, 0.00477720653924, 0.014714285812
6, 0.360338921168, 0.060270244773, 0.0247473401541, 0.0724735655023, 0.0962632957499, 0.11821633982, 0.0446661041904, 0.173788084039, 0.0047168406689, 0.0445192639338
7, 0.296926461529, 0.212091263953, 0.0847182470918, 0.0877225242642, 0.0478676776763, 0.135258058352, 0.0476514260976, 0.0272111199423, 0.0386263487753, 0.0219268723181
8, 0.444433919065, 0.158584467379, 0.036310209313, 0.109576054273, 0.049477255637, 0.0488332002055, 0.052327180627, 0.0619099728558, 0.00991674221873, 0.0286309984261
9, 0.691406069262, 0.0614893480535, 0.0336039031224, 0.0066228865669, 0.0448466014657, 0.0182199273089, 0.0140435654035, 0.115805361153, 0.00493606674929, 0.00902627091478
10, 0.55740512074, 0.189789186126, 0.0458179952547, 0.0525580801652, 0.022144989489, 0.0460375641897, 0.0286350846398, 0.0145055636569, 0.011791404363, 0.0313150113759
11, 0.780189088656, 0.064474889147, 0.0227279216175, 0.00646472935649, 0.0269857234908, 0.00904975270459, 0.0213218768537, 0.0560680238554, 0.00324433604819, 0.00947365827089
12, 0.252816735873, 0.172386059368, 0.0628060129385, 0.256518689209, 0.0371936232422, 0.0492262360363, 0.0439225989372, 0.0463060604381, 0.0433285437191, 0.0354954402391
13, 0.757869361333, 0.105453110767, 0.0306893818243, 0.00724192705768, 0.0240199576911, 0.0163171392945, 0.0127067420365, 0.0158814139922, 0.0201840960204, 0.00963686998335
14, 0.293849120835, 0.0951434270628, 0.0853441793966, 0.0677731719479, 0.116224728853, 0.116542627934, 0.0237003007534, 0.080817751902, 0.0460208087824, 0.0745838825325
15, 0.428542520958, 0.149477876313, 0.0267977755023, 0.177957013611, 0.0266331070494, 0.0406398160497, 0.0785502415602, 0.0374673746347, 0.012699661285, 0.0212346130375
16, 0.530745818098, 0.117226940395, 0.0206291205366, 0.0656712464394, 0.0275786418412, 0.046284788026, 0.0366315356905, 0.126621780238, 0.00487348850974, 0.023736640225
17, 0.318367930626, 0.196625617964, 0.0911484667878, 0.124181063969, 0.0325356978866, 0.105929404672, 0.0373637250779, 0.0368266635769, 0.0333357395323, 0.0236856899082
18, 0.822161086745, 0.0670132561339, 0.0218460295136, 0.007146440715, 0.0200270689929, 0.0142874489992, 0.0101402731685, 0.0147435207934, 0.0147796515109, 0.00785522342784
19, 0.164220824688, 0.0887237787125, 0.29438139965, 0.0590593739726, 0.0593245721903, 0.104941847289, 0.0248990228218, 0.0867418896081, 0.0735730540591, 0.0441342370089
20, 0.630375435597, 0.214872465052, 0.0376651219388, 0.00836557615049, 0.0368884807805, 0.0276318236843, 0.0165587826007, 0.0121009514329, 0.0059843374445, 0.0095570253179
21, 0.395227973565, 0.240896877534, 0.0978233294876, 0.0676816299486, 0.0175785830964, 0.0676413816251, 0.039561009236, 0.0240107374499, 0.018775682512, 0.030802795545
22, 0.423554097077, 0.0818919350697, 0.144640402471, 0.0184462315746, 0.0819440750804, 0.0875254452901, 0.0425515404662, 0.039851841594, 0.0283154280083, 0.0512790033687
23, 0.562087097964, 0.126776949167, 0.0364372850762, 0.043436936585, 0.042854805473, 0.0644158460127, 0.0197676605076, 0.0791332165344, 0.00469055491346, 0.0203996477669
24, 0.394174409021, 0.223273372888, 0.0268393877169, 0.174639122633, 0.0251007963963, 0.0486689828833, 0.0351183398888, 0.0399806105427, 0.00863318761567, 0.0235717904148
25, 0.684791760765, 0.134605494231, 0.0205130356909, 0.0354127210028, 0.0205607951543, 0.0166630380291, 0.0345958412554, 0.023530140888, 0.00387374033155, 0.0254534326519
26, 0.317324104582, 0.271607998388, 0.0630629237989, 0.106805012415, 0.0404930582712, 0.0832439071925, 0.0395822705284, 0.0275848067403, 0.0248002352895, 0.0254956827947
27, 0.1857770326, 0.111752117268, 0.316438222722, 0.0592804126108, 0.091530130029, 0.124716918367, 0.0303815513344, 0.0190810247646, 0.0473615706791, 0.0136810196254
28, 0.525417282676, 0.0752760572229, 0.0508015430549, 0.0156595707377, 0.0829425339551, 0.0781045659824, 0.0317830821466, 0.119510732181, 0.00656096000118, 0.0139436720421
29, 0.489962062095, 0.0955508993293, 0.0284289603294, 0.0659903708322, 0.0573765318505, 0.0996928884437, 0.0465911626274, 0.0922008565455, 0.00787650371864, 0.0163297642283
30, 0.779558636377, 0.0674134953418, 0.0159206639652, 0.00617159191411, 0.0258849102222, 0.0168997062598, 0.018652536572, 0.056168437404, 0.00360758840792, 0.00972243353614
31, 0.414339650076, 0.207907314913, 0.0251229492043, 0.163729897781, 0.0209108680851, 0.0608110529556, 0.0476582553507, 0.0172408863496, 0.00648045270482, 0.0357986725802
32, 0.867922058447, 0.0545913432176, 0.0147865173072, 0.00631961609917, 0.0155729401702, 0.00575195018669, 0.00970119164244, 0.0136182065176, 0.00346826632642, 0.00826791008542
33, 0.742937007951, 0.110387816912, 0.0175185144423, 0.00690877994245, 0.0264531340499, 0.0175475981514, 0.0221807018631, 0.0390644871764, 0.00362272001443, 0.0133792394972
34, 0.370555347952, 0.108235157029, 0.0757834977632, 0.0711890931587, 0.144475178286, 0.0848501993174, 0.0423636228522, 0.0564434361534, 0.0306215913168, 0.0154828761713
35, 0.313962631885, 0.18128084295, 0.0627921955443, 0.118703721729, 0.064833578275, 0.0969303501142, 0.0362762126111, 0.0495805789366, 0.0197708711323, 0.0558690168228
36, 0.341458342662, 0.187274973642, 0.0561471998341, 0.129412040418, 0.0451117452497, 0.081599009505, 0.0329943887272, 0.0474569846403, 0.0114476059415, 0.0670977093798
37, 0.789262918959, 0.0865541539804, 0.0172531347152, 0.00806238201921, 0.0273647069088, 0.0170068481928, 0.0159554166432, 0.0247970058509, 0.00404409895706, 0.00969933377369
38, 0.826996421996, 0.047864290132, 0.0248533729094, 0.00544621600683, 0.0226580992356, 0.00830351685484, 0.00885944244148, 0.0203231947412, 0.00458740608457, 0.0301080395977
39, 0.835685242228, 0.0460380609857, 0.0208917402075, 0.00636992549303, 0.0316522636231, 0.00810457308776, 0.00828900041503, 0.0297984289644, 0.00400145689333, 0.00916930810255
40, 0.338046328258, 0.278646226961, 0.0550649222281, 0.0627646765784, 0.0566452249648, 0.0937799798485, 0.0398551587785, 0.0404264902424, 0.0101495284587, 0.0246214636815
41, 0.706426129814, 0.0990983634468, 0.022401359517, 0.0151812576004, 0.033887298079, 0.0206551243388, 0.0324799318758, 0.0449797899062, 0.00902145478166, 0.0158692906401
42, 0.281529523716, 0.372032551031, 0.0768393738142, 0.0515141170259, 0.0353339931852, 0.0661756255766, 0.0327189388378, 0.0230965914558, 0.0405400777564, 0.020219207601
43, 0.214395190049, 0.085407984508, 0.237461658671, 0.0583504714343, 0.0681042025457, 0.117844825797, 0.0386208946793, 0.0978531430857, 0.0540608620301, 0.0279007671993
44, 0.437830635094, 0.127563758608, 0.0504144026681, 0.109863524668, 0.0377653784006, 0.0732931619755, 0.0524076030967, 0.0574047874504, 0.0241426860041, 0.029314062035
45, 0.567321265855, 0.150119793323, 0.0413897625248, 0.0473070643173, 0.0355449639422, 0.0381223292133, 0.0557599613428, 0.0249763182447, 0.0153809950675, 0.0240775461692
46, 0.496629743186, 0.340323425095, 0.0312851447159, 0.0189929097969, 0.0202282900005, 0.0314031094233, 0.0263104289321, 0.0144534983231, 0.0122808578791, 0.00809259264862
47, 0.425196778728, 0.306057764035, 0.0407170357076, 0.0383534853006, 0.0529992829395, 0.0631014681935, 0.0249943953666, 0.0131287089681, 0.0098334575923, 0.0256176231687
48, 0.833283876199, 0.0783108930379, 0.0154956790037, 0.00624426836509, 0.015821541503, 0.00911961539983, 0.0132330544427, 0.0171364511529, 0.00288295352464, 0.00847166737135
49, 0.477735111721, 0.119706776301, 0.0237080933541, 0.0974337004111, 0.0330128098439, 0.0736799494672, 0.037715112696, 0.0988191682177, 0.00475506865155, 0.0334342093363
50, 0.706429204835, 0.118471823488, 0.0184436083558, 0.0144006176638, 0.0189382180599, 0.0430556171403, 0.0389372871824, 0.0213168177742, 0.00425382337348, 0.0157529821279
